Date,ETo_in,ETr_in,Accu_ETo_in,Accu_ETr_in
 2020-08-04, 0.27334, 0.37565, 0.27334,0.37565.
 2020-08-05, 0.27799, 0.38386, 0.55133,0.75951.
 2020-08-06, 0.25059, 0.37023, 0.80192,1.12974.
 2020-08-07, 0.24344, 0.34013, 1.04536,1.46987.
 2020-08-08, 0.23795, 0.32587, 1.28331,1.79574.
 2020-08-09, 0.26473, 0.37133, 1.54804,2.16707.
 2020-08-10, 0.29897, 0.42965, 1.84701,2.59672.
 2020-08-11, 0.32364, 0.48279, 2.17065,3.07951.
 2020-08-12, 0.26241, 0.38038, 2.43306,3.45989.
 2020-08-13, 0.21541, 0.29784, 2.64847,3.75773.
 2020-08-14, 0.25571, 0.35751, 2.90418,4.11524.
 2020-08-15, 0.25301, 0.34908, 3.15719,4.46432.
 2020-08-16, 0.22143, 0.30984, 3.37862,4.77416.
 2020-08-17, 0.28766, 0.41423, 3.66628,5.18839.
 2020-08-18, 0.27749, 0.39943, 3.94377,5.58782.
 2020-08-19, 0.29555, 0.43671, 4.23932,6.02453.
 2020-08-20, 0.24470, 0.35801, 4.48402,6.38254.
 2020-08-21, 0.24355, 0.36098, 4.72757,6.74352.
 2020-08-22, 0.26025, 0.37537, 4.98782,7.11889.
 2020-08-23, 0.22477, 0.31134, 5.21259,7.43023.
 2020-08-24, 0.24081, 0.34108, 5.4534,7.77131.
 2020-08-25, 0.24856, 0.35557, 5.70196,8.12688.
 2020-08-26, 0.24955, 0.35967, 5.95151,8.48655.
 2020-08-27, 0.24869, 0.35990, 6.2002,8.84645.
 2020-08-28, 0.25052, 0.36377, 6.45072,9.21022.
 2020-08-29, 0.25282, 0.38270, 6.70354,9.59292.
 2020-08-30, 0.25093, 0.37660, 6.95447,9.96952.
 2020-08-31, 0.19873, 0.27859, 7.1532,10.24811.
 2020-09-01, 0.24079, 0.34587, 7.39399,10.59398.
 2020-09-02, 0.25082, 0.37164, 7.64481,10.96562.
 2020-09-03, 0.20565, 0.28884, 7.85046,11.25446.
 2020-09-04, 0.17576, 0.24042, 8.02622,11.49488.
 2020-09-05, 0.21312, 0.30535, 8.23934,11.80023.
 2020-09-06, 0.25251, 0.37539, 8.49185,12.17562.
 2020-09-07, 0.24332, 0.37650, 8.73517,12.55212.
 2020-09-08, 0.16155, 0.23605, 8.89672,12.78817.
 2020-09-09, 0.16266, 0.23227, 9.05938,13.02044.
 2020-09-10, 0.15616, 0.21541, 9.21554,13.23585.
 2020-09-11, 0.13511, 0.18508, 9.35065,13.42093.
 2020-09-12, 0.12174, 0.16635, 9.47239,13.58728.
 2020-09-13, 0.09356, 0.12744, 9.56595,13.71472.
 2020-09-14, 0.09474, 0.13254, 9.66069,13.84726.
 2020-09-15, 0.12537, 0.16685, 9.78606,14.01411.
 2020-09-16, 0.10701, 0.14190, 9.89307,14.15601.
 2020-09-17, 0.09755, 0.12775, 9.99062,14.28376.
 2020-09-18, 0.10871, 0.15329, 10.09933,14.43705.
 2020-09-19, 0.12867, 0.18290, 10.228,14.61995.
 2020-09-20, 0.14195, 0.19869, 10.36995,14.81864.
 2020-09-21, 0.09872, 0.13476, 10.46867,14.9534.
 2020-09-22, 0.13651, 0.19234, 10.60518,15.14574.
 2020-09-23, 0.05967, 0.08704, 10.66485,15.23278.
 2020-09-24, 0.17400, 0.26770, 10.83885,15.50048.
 2020-09-25, 0.09388, 0.13631, 10.93273,15.63679.
 2020-09-26, 0.11622, 0.17081, 11.04895,15.8076.
 2020-09-27, 0.09916, 0.13706, 11.14811,15.94466.
 2020-09-28, 0.10284, 0.13905, 11.25095,16.08371.
 2020-09-29, 0.11194, 0.15311, 11.36289,16.23682.
 2020-09-30, 0.09100, 0.11829, 11.45389,16.35511.
 2020-10-01, 0.08166, 0.10748, 11.53555,16.46259.
 2020-10-02, 0.09178, 0.12196, 11.62733,16.58455.
 2020-10-03, 0.09533, 0.12864, 11.72266,16.71319.
 2020-10-04, 0.11789, 0.17190, 11.84055,16.88509.
 2020-10-05, 0.12651, 0.19006, 11.96706,17.07515.
 2020-10-06, 0.10771, 0.15226, 12.07477,17.22741.
 2020-10-07, 0.09145, 0.12648, 12.16622,17.35389.
 2020-10-08, 0.14351, 0.22411, 12.30973,17.578.
 2020-10-09, 0.11132, 0.16914, 12.42105,17.74714.
 2020-10-10, 0.16285, 0.26159, 12.5839,18.00873.
 2020-10-11, 0.07511, 0.11355, 12.65901,18.12228.
 2020-10-12, 0.09536, 0.14476, 12.75437,18.26704.
 2020-10-13, 0.08504, 0.13124, 12.83941,18.39828.
 2020-10-14, 0.08894, 0.13568, 12.92835,18.53396.
 2020-10-15, 0.07284, 0.10967, 13.00119,18.64363.
 2020-10-16, 0.08997, 0.13877, 13.09116,18.7824.
 2020-10-17, 0.11336, 0.18062, 13.20452,18.96302.
 2020-10-18, 0.06191, 0.09123, 13.26643,19.05425.
 2020-10-19, 0.08561, 0.13346, 13.35204,19.18771.
 2020-10-20, 0.07830, 0.12269, 13.43034,19.3104.
 2020-10-21, 0.06879, 0.10745, 13.49913,19.41785.
 2020-10-22, 0.05787, 0.08996, 13.557,19.50781.
 2020-10-23, 0.01516, 0.02077, 13.57216,19.52858.
 2020-10-24, 0.04868, 0.07528, 13.62084,19.60386.
 2020-10-25, 0.04928, 0.07808, 13.67012,19.68194.
 2020-10-26, 0.03857, 0.05878, 13.70869,19.74072.
 2020-10-27, 0.02929, 0.04238, 13.73798,19.7831.
 2020-10-28, 0.03664, 0.05417, 13.77462,19.83727.
 2020-10-29, 0.03786, 0.05568, 13.81248,19.89295.
 2020-10-30, 0.09034, 0.14912, 13.90282,20.04207.
