Date,ETo_in,ETr_in,Accu_ETo_in,Accu_ETr_in
 2020-02-11, 0.05207, 0.08259, 0.05207,0.08259.
 2020-02-12, 0.04256, 0.06513, 0.09463,0.14772.
 2020-02-13, 0.02774, 0.03867, 0.12237,0.18639.
 2020-02-14, 0.06702, 0.10697, 0.18939,0.29336.
 2020-02-15, 0.03869, 0.05659, 0.22808,0.34995.
 2020-02-16, 0.05408, 0.08334, 0.28216,0.43329.
 2020-02-17, 0.05577, 0.08647, 0.33793,0.51976.
 2020-02-18, 0.04928, 0.07539, 0.38721,0.59515.
 2020-02-19, 0.04531, 0.06787, 0.43252,0.66302.
 2020-02-20, 0.04100, 0.05948, 0.47352,0.7225.
 2020-02-21, 0.03736, 0.05219, 0.51088,0.77469.
 2020-02-22, 0.05037, 0.07339, 0.56125,0.84808.
 2020-02-23, 0.07302, 0.11296, 0.63427,0.96104.
 2020-02-24, 0.06718, 0.10256, 0.70145,1.0636.
 2020-02-25, 0.04733, 0.06784, 0.74878,1.13144.
 2020-02-26, 0.06273, 0.09229, 0.81151,1.22373.
 2020-02-27, 0.05759, 0.08246, 0.8691,1.30619.
 2020-02-28, 0.06841, 0.10050, 0.93751,1.40669.
 2020-02-29, 0.10074, 0.15720, 1.03825,1.56389.
 2020-03-01, 0.08846, 0.13662, 1.12671,1.70051.
 2020-03-02, 0.08467, 0.12579, 1.21138,1.8263.
 2020-03-03, 0.14610, 0.23182, 1.35748,2.05812.
 2020-03-04, 0.11716, 0.18344, 1.47464,2.24156.
 2020-03-05, 0.06915, 0.09955, 1.54379,2.34111.
 2020-03-06, 0.05806, 0.08222, 1.60185,2.42333.
 2020-03-07, 0.07676, 0.11154, 1.67861,2.53487.
 2020-03-08, 0.07714, 0.11214, 1.75575,2.64701.
 2020-03-09, 0.08800, 0.13079, 1.84375,2.7778.
 2020-03-10, 0.10938, 0.17078, 1.95313,2.94858.
 2020-03-11, 0.11842, 0.18160, 2.07155,3.13018.
 2020-03-12, 0.08790, 0.12729, 2.15945,3.25747.
 2020-03-13, 0.03560, 0.05056, 2.19505,3.30803.
 2020-03-14, 0.07313, 0.10920, 2.26818,3.41723.
 2020-03-15, 0.08113, 0.12061, 2.34931,3.53784.
 2020-03-16, 0.08558, 0.12069, 2.43489,3.65853.
 2020-03-17, 0.08278, 0.11533, 2.51767,3.77386.
 2020-03-18, 0.09572, 0.13198, 2.61339,3.90584.
 2020-03-19, 0.10069, 0.13988, 2.71408,4.04572.
 2020-03-20, 0.10834, 0.15056, 2.82242,4.19628.
 2020-03-21, 0.12914, 0.18696, 2.95156,4.38324.
 2020-03-22, 0.10721, 0.15434, 3.05877,4.53758.
 2020-03-23, 0.15533, 0.23658, 3.2141,4.77416.
 2020-03-24, 0.10134, 0.14766, 3.31544,4.92182.
 2020-03-25, 0.08639, 0.11909, 3.40183,5.04091.
 2020-03-26, 0.10718, 0.15467, 3.50901,5.19558.
 2020-03-27, 0.11613, 0.17066, 3.62514,5.36624.
 2020-03-28, 0.11074, 0.15705, 3.73588,5.52329.
 2020-03-29, 0.13798, 0.20110, 3.87386,5.72439.
 2020-03-30, 0.13303, 0.19497, 4.00689,5.91936.
 2020-03-31, 0.11262, 0.16067, 4.11951,6.08003.
 2020-04-01, 0.11299, 0.16411, 4.2325,6.24414.
 2020-04-02, 0.11631, 0.17231, 4.34881,6.41645.
 2020-04-03, 0.12024, 0.17479, 4.46905,6.59124.
 2020-04-04, 0.09367, 0.12804, 4.56272,6.71928.
 2020-04-05, 0.10048, 0.14157, 4.6632,6.86085.
 2020-04-06, 0.14834, 0.20915, 4.81154,7.07.
 2020-04-07, 0.16615, 0.24043, 4.97769,7.31043.
 2020-04-08, 0.15259, 0.21270, 5.13028,7.52313.
